group,priority_level,url,target_keyword,reason,linked_from_homepage,linked_from_footer
Stainless steel product pages,P1,https://www.stainlesssteeldealers.com/stainless-steel-pipes/,stainless steel pipes Chennai,Product form hub,yes,yes
Stainless steel product pages,P1,https://www.stainlesssteeldealers.com/stainless-steel-sheets/,stainless steel sheets Chennai,Product form hub,yes,yes
SS 304 / SS 316 pages,P1,https://www.stainlesssteeldealers.com/ss-304/,SS 304 suppliers Chennai,Grade hub,yes,no
SS 304 / SS 316 pages,P1,https://www.stainlesssteeldealers.com/ss-316/,SS 316 suppliers Chennai,Grade hub,yes,no
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P1,https://www.stainlesssteeldealers.com/stainless-steel-suppliers-ambattur/,stainless steel suppliers Ambattur,Priority industrial location,yes,yes
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P1,https://www.stainlesssteeldealers.com/stainless-steel-suppliers-coimbatore/,stainless steel suppliers Coimbatore,Priority Tamil Nadu city,yes,yes
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P1,https://www.stainlesssteeldealers.com/stainless-steel-suppliers-sricity/,stainless steel suppliers Sricity,Priority industrial corridor,yes,yes
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P1,https://www.stainlesssteeldealers.com/stainless-steel-suppliers-tada/,stainless steel suppliers Tada,Priority industrial corridor,yes,yes
Technical / ASTM / equivalent pages,P1,https://www.stainlesssteeldealers.com/astm-a240-stainless-steel-sheets-chennai/,ASTM A240 stainless steel sheets Chennai,ASTM sheet standard intent,yes,no
Technical / ASTM / equivalent pages,P1,https://www.stainlesssteeldealers.com/astm-a312-stainless-steel-pipes-chennai/,ASTM A312 stainless steel pipes Chennai,ASTM pipe standard intent,yes,no
Blog authority pages,P1,https://www.stainlesssteeldealers.com/blog/jindal-ss-304-sheet-chennai-buyer-guide/,Jindal SS 304 sheet Chennai buyer guide,Authority support blog,no,no
Blog authority pages,P1,https://www.stainlesssteeldealers.com/blog/ss-304-sheet-price-chennai/,SS 304 sheet price Chennai,Price authority blog,no,no
Blog authority pages,P1,https://www.stainlesssteeldealers.com/blog/ss-316-sheet-price-chennai/,SS 316 sheet price Chennai,Price authority blog,no,no
SS 304 / SS 316 pages,P2,https://www.stainlesssteeldealers.com/ss-304-sheets-chennai/,SS 304 sheets Chennai,City product page,yes,yes
SS 304 / SS 316 pages,P2,https://www.stainlesssteeldealers.com/ss-316-sheets-chennai/,SS 316 sheets Chennai,City product page,yes,yes
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-pipes-chennai/,stainless steel pipes Chennai,City product page,yes,yes
Stainless steel product pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-plates/,stainless steel plates Chennai,Product form,yes,yes
Stainless steel product pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-coils/,stainless steel coils Chennai,Product form,yes,yes
Stainless steel product pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-rods/,stainless steel rods Chennai,Product form,yes,yes
Stainless steel product pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-bars/,stainless steel bars Chennai,Product form,yes,yes
Stainless steel product pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-flanges/,stainless steel flanges Chennai,Product form,yes,yes
Stainless steel product pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-fittings/,stainless steel fittings Chennai,Product form,yes,no
Stainless steel product pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-wire-mesh/,stainless steel wire mesh Chennai,Product form,yes,yes
Stainless steel product pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-perforated-sheets/,stainless steel perforated sheets Chennai,Product form,yes,no
Jindal make pages,P2,https://www.stainlesssteeldealers.com/jindal-ss-304-sheet-price-chennai/,Jindal SS 304 sheet price Chennai,Jindal price intent,no,no
Jindal make pages,P2,https://www.stainlesssteeldealers.com/jindal-ss-sheet-price-chennai/,Jindal SS sheet price Chennai,Jindal price intent,yes,no
Jindal make pages,P2,https://www.stainlesssteeldealers.com/jindal-ss-304-pipes-chennai/,Jindal SS 304 pipes Chennai,Jindal grade pipe intent,no,no
Jindal make pages,P2,https://www.stainlesssteeldealers.com/jindal-ss-316-pipes-chennai/,Jindal SS 316 pipes Chennai,Jindal grade pipe intent,no,no
Technical / ASTM / equivalent pages,P2,https://www.stainlesssteeldealers.com/x5crni18-10-stainless-steel-chennai/,X5CrNi18-10 stainless steel Chennai,Equivalent grade intent,no,no
Technical / ASTM / equivalent pages,P2,https://www.stainlesssteeldealers.com/en-1-4301-stainless-steel-chennai/,EN 1.4301 stainless steel Chennai,Equivalent grade intent,no,no
Technical / ASTM / equivalent pages,P2,https://www.stainlesssteeldealers.com/en-1-4401-stainless-steel-chennai/,EN 1.4401 stainless steel Chennai,Equivalent grade intent,no,no
Technical / ASTM / equivalent pages,P2,https://www.stainlesssteeldealers.com/ss-304-equivalent-grades/,SS 304 equivalent grades,Equivalent hub,yes,no
Technical / ASTM / equivalent pages,P2,https://www.stainlesssteeldealers.com/ss-316-equivalent-grades/,SS 316 equivalent grades,Equivalent hub,no,no
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P2,https://www.stainlesssteeldealers.com/2b-finish-stainless-steel-sheets-chennai/,2B finish stainless steel sheets Chennai,Finish intent,no,no
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P2,https://www.stainlesssteeldealers.com/mirror-finish-stainless-steel-sheets-chennai/,mirror finish stainless steel sheets Chennai,Finish intent,no,no
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P2,https://www.stainlesssteeldealers.com/polished-stainless-steel-pipes-chennai/,polished stainless steel pipes Chennai,Finish intent,yes,yes
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-suppliers-parrys-chennai/,stainless steel suppliers Parrys Chennai,Chennai micro market,no,no
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-dealers-george-town-chennai/,stainless steel dealers George Town Chennai,Chennai micro market,no,no
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-suppliers-gummidipoondi/,stainless steel suppliers Gummidipoondi,Industrial corridor location,no,no
SS 304 / SS 316 pages,P2,https://www.stainlesssteeldealers.com/ss-304-sheets-parrys-chennai/,SS 304 sheets Parrys Chennai,City product page,no,no
SS 304 / SS 316 pages,P2,https://www.stainlesssteeldealers.com/ss-304-pipes-ambattur/,SS 304 pipes Ambattur,City product page,no,no
SS 304 / SS 316 pages,P2,https://www.stainlesssteeldealers.com/ss-316-pipes-sriperumbudur/,SS 316 pipes Sriperumbudur,City product page,no,no
SS 304 / SS 316 pages,P2,https://www.stainlesssteeldealers.com/ss-304-pipes-sricity/,SS 304 pipes Sricity,City product page,no,no
SS 304 / SS 316 pages,P2,https://www.stainlesssteeldealers.com/ss-316-pipes-tada/,SS 316 pipes Tada,City product page,no,no
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-suppliers-hosur/,stainless steel suppliers Hosur,Priority industrial city,yes,yes
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-suppliers-renigunta/,stainless steel suppliers Renigunta,Priority logistics location,yes,no
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P2,https://www.stainlesssteeldealers.com/stainless-steel-suppliers-pondicherry/,stainless steel suppliers Pondicherry,Nearby market,yes,yes
Blog authority pages,P2,https://www.stainlesssteeldealers.com/blog/astm-a240-astm-a312-stainless-steel-buyers/,ASTM A240 ASTM A312 stainless steel buyers,Technical authority blog,no,no
Blog authority pages,P2,https://www.stainlesssteeldealers.com/blog/polished-stainless-steel-pipes-for-railings-chennai/,polished stainless steel pipes railings Chennai,Finish/application authority blog,no,no
Blog authority pages,P2,https://www.stainlesssteeldealers.com/blog/stainless-steel-suppliers-ambattur-buyer-checklist/,stainless steel suppliers Ambattur checklist,Location authority blog,no,no
Blog authority pages,P2,https://www.stainlesssteeldealers.com/blog/stainless-steel-supply-to-sricity-and-tada/,stainless steel supply Sricity Tada,Corridor authority blog,no,no
Homepage and core pages,P3,https://www.stainlesssteeldealers.com/technical-data/,stainless steel technical data,Technical hub,yes,no
Homepage and core pages,P3,https://www.stainlesssteeldealers.com/locations-we-serve/,stainless steel suppliers Tamil Nadu,Location hub,yes,yes
Homepage and core pages,P3,https://www.stainlesssteeldealers.com/industries-we-serve/,stainless steel for industries Chennai,Industry hub,yes,no
Stainless steel product pages,P3,https://www.stainlesssteeldealers.com/ss-202/,SS 202 suppliers Chennai,Grade page,yes,no
SS 304 / SS 316 pages,P3,https://www.stainlesssteeldealers.com/ss-304l/,SS 304L suppliers Chennai,Grade page,yes,no
SS 304 / SS 316 pages,P3,https://www.stainlesssteeldealers.com/ss-316l/,SS 316L suppliers Chennai,Grade page,yes,no
Stainless steel product pages,P3,https://www.stainlesssteeldealers.com/ss-310/,SS 310 suppliers Chennai,Grade page,yes,no
Stainless steel product pages,P3,https://www.stainlesssteeldealers.com/stainless-steel-tubes/,stainless steel tubes Chennai,Product form,yes,no
Stainless steel product pages,P3,https://www.stainlesssteeldealers.com/stainless-steel-angles/,stainless steel angles Chennai,Product form,yes,no
Stainless steel product pages,P3,https://www.stainlesssteeldealers.com/stainless-steel-fasteners/,stainless steel fasteners Chennai,Product form,yes,no
