"slug","type","h1","primary_keyword","status"
"ss-304-pipes-ambattur/","city-product-money","SS 304 Pipes in Ambattur","ss 304 pipes in ambattur","created"
"ss-316-pipes-sriperumbudur/","city-product-money","SS 316 Pipes in Sriperumbudur","ss 316 pipes in sriperumbudur","created"
"ss-304-pipes-oragadam/","city-product-money","SS 304 Pipes in Oragadam","ss 304 pipes in oragadam","created"
"ss-316-pipes-pondicherry/","city-product-money","SS 316 Pipes in Pondicherry","ss 316 pipes in pondicherry","created"
"ss-304-sheets-coimbatore/","city-product-money","SS 304 Sheets in Coimbatore","ss 304 sheets in coimbatore","created"
"ss-316-sheets-hosur/","city-product-money","SS 316 Sheets in Hosur","ss 316 sheets in hosur","created"
"ss-304-pipes-sricity/","city-product-money","SS 304 Pipes in Sricity","ss 304 pipes in sricity","created"
"ss-316-pipes-tada/","city-product-money","SS 316 Pipes in Tada","ss 316 pipes in tada","created"
"ss-304-sheets-renigunta/","city-product-money","SS 304 Sheets in Renigunta","ss 304 sheets in renigunta","created"
"ss-316-pipes-tirupati/","city-product-money","SS 316 Pipes in Tirupati","ss 316 pipes in tirupati","created"
"polished-ss-pipes-chennai/","city-product-money","Polished SS Pipes in Chennai","polished ss pipes in chennai","created"
"polished-ss-pipes-ambattur/","city-product-money","Polished SS Pipes in Ambattur","polished ss pipes in ambattur","created"
"ss-304-round-bars-chennai/","city-product-money","SS 304 Round Bars in Chennai","ss 304 round bars in chennai","created"
"ss-316-round-bars-chennai/","city-product-money","SS 316 Round Bars in Chennai","ss 316 round bars in chennai","created"
"ss-304-flat-bars-chennai/","city-product-money","SS 304 Flat Bars in Chennai","ss 304 flat bars in chennai","created"
"ss-304-angles-chennai/","city-product-money","SS 304 Angles in Chennai","ss 304 angles in chennai","created"
"ss-304-perforated-sheets-chennai/","city-product-money","SS 304 Perforated Sheets in Chennai","ss 304 perforated sheets in chennai","created"
"ss-wire-mesh-chennai/","city-product-money","SS Wire Mesh in Chennai","ss wire mesh in chennai","created"
"ss-304-coils-chennai/","city-product-money","SS 304 Coils in Chennai","ss 304 coils in chennai","created"
"jindal-ss-coils-chennai/","city-product-money","Jindal SS Coils in Chennai","jindal ss coils in chennai","created"
